Severity,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
3,Washington,OR,63.0,63.0,54.0,29.77,10.0,6.0,0.0
2,Clarion,PA,24.0,17.0,91.0,28.23,0.75,6.0,0.03
2,Ramsey,MN,69.0,69.0,32.0,29.02,10.0,6.0,0.0
2,Travis,TX,82.0,82.0,14.0,29.55,10.0,6.0,0.0
2,Westchester,NY,75.0,75.0,90.0,29.05,1.0,3.0,0.0
2,Pima,AZ,69.0,69.0,21.0,27.24,10.0,5.0,0.0
2,Kane,IL,70.0,70.0,38.0,29.35,10.0,9.0,0.0
2,Miami-Dade,FL,82.0,82.0,90.0,29.93,10.0,5.0,0.0
2,Alameda,CA,46.0,42.0,83.0,29.14,10.0,7.0,0.0
3,Palm Beach,FL,75.0,75.0,94.0,29.84,10.0,5.0,0.0
2,Washington,PA,32.0,26.0,61.0,28.74,10.0,6.0,0.0
2,Washington,MN,28.0,19.0,74.0,29.06,10.0,10.0,0.0
3,Alameda,CA,80.0,80.0,54.0,29.75,10.0,12.0,0.0
3,Orange,FL,87.0,87.0,65.0,29.96,10.0,9.0,0.0
2,Santa Barbara,CA,49.0,49.0,86.0,30.05,10.0,0.0,0.0
2,Hartford,CT,38.0,34.0,48.0,30.35,10.0,5.0,0.0
2,East Baton Rouge,LA,32.0,32.0,92.0,30.2,10.0,0.0,0.0
2,Lake,IL,44.0,40.0,89.0,29.2,6.0,8.0,0.02
2,San Bernardino,CA,66.0,66.0,65.0,28.95,10.0,3.0,0.0
2,East Baton Rouge,LA,65.0,65.0,84.0,29.94,10.0,3.0,0.0
2,Riverside,CA,53.0,53.0,64.0,29.32,10.0,0.0,0.0
2,Kern,CA,51.0,51.0,54.0,29.67,6.0,5.0,0.0
3,Miami-Dade,FL,85.0,85.0,67.0,30.02,10.0,7.0,0.0
2,Montgomery,PA,69.0,69.0,40.0,29.74,10.0,12.0,0.0
3,Oklahoma,OK,72.0,72.0,93.0,28.42,10.0,10.0,0.01
3,Davidson,TN,90.0,90.0,48.0,29.27,10.0,13.0,0.0
3,Buncombe,NC,67.0,67.0,90.0,27.88,10.0,0.0,0.0
2,Williamson,TN,49.0,49.0,66.0,29.44,9.0,3.0,0.0
3,Duval,FL,80.0,80.0,28.0,29.91,10.0,6.0,0.0
2,Platte,MO,28.0,23.0,72.0,29.47,10.0,5.0,0.0
2,Merced,CA,47.0,45.0,83.0,30.19,8.0,5.0,0.0
2,Tulare,CA,56.0,56.0,64.0,29.85,10.0,5.0,0.0
2,Riverside,CA,66.0,66.0,30.0,29.22,9.0,6.0,0.0
3,New Haven,CT,81.0,81.0,54.0,30.24,10.0,7.0,0.0
2,Jefferson,AL,85.0,85.0,61.0,29.25,10.0,8.0,0.0
2,Miami-Dade,FL,84.0,84.0,76.0,30.01,10.0,0.0,0.0
2,Smith,TX,47.0,47.0,56.0,29.6,10.0,0.0,0.0
2,Monterey,CA,48.0,48.0,74.0,29.89,10.0,0.0,0.0
2,Anderson,SC,84.0,84.0,70.0,29.06,10.0,8.0,0.0
3,Jefferson,AL,82.0,82.0,74.0,29.45,10.0,7.0,0.0
2,San Joaquin,CA,49.0,46.0,66.0,30.01,10.0,7.0,0.0
2,Orange,CA,50.0,50.0,50.0,30.02,10.0,0.0,0.0
2,Cobb,GA,52.0,52.0,94.0,28.6,8.0,9.0,0.0
2,Multnomah,OR,57.0,57.0,69.0,30.11,10.0,9.0,0.0
