State,County,Start_Lat,Start_Lng,count
FL,Brevard,28.285931,-80.608664,4201
FL,Broward,26.102942,-80.265091,21652
FL,Calhoun,30.436728,-85.22255200000001,54
FL,Charlotte,26.858271,-81.987617,804
FL,Citrus,28.698406,-82.451477,524
FL,Clay,30.18701,-81.73946,1159
FL,Collier,26.286778,-81.801789,1328
FL,Columbia,30.093796,-82.651772,1035
FL,De Soto,27.19326,-82.12234000000001,24
FL,DeSoto,27.219422,-81.871886,85
FL,Dixie,29.44408,-83.286888,43
FL,Duval,30.334675,-81.670998,15950
FL,Escambia,30.524999,-87.313345,4692
FL,Flagler,29.603143,-81.250129,387
FL,Franklin,29.927927,-84.46588299999999,13
FL,Gadsden,30.53704,-84.5901,642
FL,Gilchrist,29.613371,-82.818359,71
FL,Glades,26.833633000000003,-81.186874,71
FL,Gulf,29.80957,-85.30249,31
FL,Hamilton,30.44816,-82.932343,328
FL,Hardee,27.59492,-81.82249,241
FL,Hendry,26.76177,-81.43841,173
FL,Hernando,28.450769,-82.557404,2353
FL,Highlands,27.617451000000003,-81.538238,542
FL,Hillsborough,28.021709,-82.203583,18475
FL,Holmes,30.713778,-85.93537099999999,189
FL,Indian River,27.638559000000004,-80.410149,478
FL,Jackson,30.753195,-85.27291899999999,596
FL,Jefferson,30.474346,-83.884037,192
FL,Lafayette,30.1292,-83.29257199999999,6
FL,Lake,28.74878,-81.93167,1439
FL,Lee,26.564581,-81.856346,9184
FL,Leon,30.435011,-84.201233,2813
FL,Levy,29.361233,-82.455849,218
FL,Liberty,30.505,-84.848538,50
FL,Madison,30.43813,-83.652287,347
FL,Manatee,27.441839,-82.459595,6586
FL,Marion,28.981974,-81.98734300000001,3304
FL,Martin,27.161121,-80.269402,938
FL,Miami-Dade,25.684458,-80.445924,65050
FL,Monroe,24.746454,-80.9832,482
FL,Nassau,30.67153,-81.64144,549
FL,Okaloosa,30.444669,-86.62388299999999,1101
FL,Okeechobee,27.60424,-80.82531999999999,84
FL,Orange,28.348536,-81.56498,32773
FL,Osceola,28.171101,-81.301735,4524
FL,Palm Beach,26.61341,-80.068784,12527
FL,Pasco,28.244009,-82.454643,6586
FL,Pinellas,27.76623,-82.768204,13763
FL,Polk,28.181709,-81.74202,2135
FL,Putnam,29.631554,-81.86725899999999,320
FL,Saint Johns,29.813318,-81.322608,23
FL,Saint Lucie,27.446974,-80.32596600000001,10
FL,Santa Rosa,30.389618,-87.067521,1689
FL,Sarasota,27.388454,-82.487072,5643
FL,Seminole,28.66436,-81.38871999999999,3530
FL,St. Johns,29.823669,-81.378761,1483
FL,St. Lucie,27.211086,-80.333931,1332
FL,Sumter,28.697873,-82.104239,919
