State,County,Start_Lat,Start_Lng,count,State_Name
GA,Baldwin,33.081791,-83.239626,77,Georgia
GA,Banks,34.29995,-83.40284,139,Georgia
GA,Barrow,34.09836,-83.80281,195,Georgia
GA,Bartow,34.242414000000004,-84.76605,513,Georgia
GA,Ben Hill,31.713198,-83.204939,16,Georgia
GA,Berrien,31.110931,-83.295946,13,Georgia
GA,Bibb,32.7534,-83.71133,539,Georgia
GA,Bleckley,32.571448,-83.23123000000001,45,Georgia
GA,Brantley,31.200305,-82.143772,16,Georgia
GA,Brooks,30.942499,-83.49941899999999,48,Georgia
GA,Bryan,31.93402,-81.32234,179,Georgia
GA,Bulloch,32.305682,-81.873228,142,Georgia
GA,Burke,32.97073,-81.979599,41,Georgia
GA,Butts,33.257839000000004,-84.092979,353,Georgia
GA,Calhoun,31.509117,-84.501822,12,Georgia
GA,Camden,30.809018,-81.80292299999999,114,Georgia
GA,Candler,32.374229,-82.066887,33,Georgia
GA,Carroll,33.664455,-85.149487,488,Georgia
GA,Catoosa,34.90946,-85.12253,185,Georgia
GA,Charlton,30.829183,-82.005413,18,Georgia
GA,Chatham,32.04371,-81.06914,1489,Georgia
GA,Chattahoochee,32.313482,-84.798781,25,Georgia
GA,Chattooga,34.492931,-85.35778,67,Georgia
GA,Cherokee,34.145939,-84.516632,695,Georgia
GA,Clarke,33.95664,-83.37982,91,Georgia
GA,Clay,31.59934,-84.84813,5,Georgia
GA,Clayton,33.629433,-84.40289,2707,Georgia
GA,Clinch,31.028170000000003,-82.78407,5,Georgia
GA,Cobb,33.900101,-84.447914,5135,Georgia
GA,Coffee,31.500959,-82.86177099999999,24,Georgia
GA,Colquitt,31.155974,-83.62104699999999,32,Georgia
GA,Columbia,33.512863,-82.048744,373,Georgia
GA,Cook,31.211366,-83.459237,82,Georgia
GA,Coweta,33.44651,-84.88044000000001,693,Georgia
GA,Crawford,32.799572999999995,-84.031317,32,Georgia
GA,Crisp,31.835707,-83.713852,41,Georgia
GA,Dade,34.97741,-85.4173,89,Georgia
GA,Dawson,34.51534,-84.238338,82,Georgia
GA,DeKalb,33.918056,-84.33802800000001,9921,Georgia
GA,Decatur,30.741658,-84.462558,28,Georgia
